Date,AAPL_Price,MSFT_Price,AAPL_Return,MSFT_Return,AAPL_CumReturn,MSFT_CumReturn
2019-04-02,46.36276626586914,111.74098205566406,0.014536486254109082,0.001428628082175809,1.2338656484994033,1.1837322222318305
2019-04-03,46.68058776855469,112.47222137451172,0.006855102235767907,0.0065440566692298585,1.2423239236650687,1.191478632975309
2019-04-04,46.761837005615234,111.9003448486328,0.0017405358617887945,-0.005084602392395832,1.244486233006166,1.1854204378675943
2019-04-05,47.07487106323242,112.397216796875,0.006694220707787801,0.004440307569331559,1.2528170985177125,1.1906840692106981
2019-04-08,47.815650939941406,112.43470764160156,0.015736206174923995,0.0003335567000233297,1.2725316866794574,1.1910812298595943
2019-04-09,47.672271728515625,111.82533264160156,-0.002998583279894551,-0.005419812198404483,1.2687158944406443,1.1846257932807107
2019-04-10,47.93989944458008,112.678466796875,0.005613907337761015,0.007629167158462291,1.2758383479099786,1.1936635014778751
2019-04-11,47.54083633422851,112.80973052978516,-0.008324237534392376,0.001164940708208162,1.2652179664464893,1.195054048682649
2019-04-12,47.521724700927734,113.39097595214844,-0.00040200456648287197,0.00515244048216057,1.2647093430463816,1.2012114935414515
2019-04-15,47.60774993896485,113.48472595214844,0.0018102297123789857,0.0008267853699359673,1.2669987574766874,1.2022046376305104
2019-04-16,47.61252212524414,113.22222900390624,0.00010023969386097065,-0.002313059718299759,1.2671257610442592,1.199423866510054
2019-04-17,48.53968811035156,114.1597137451172,0.019473154198144105,0.008280041379318037,1.2918006963775148,1.209355145756099
2019-04-18,48.71412658691406,115.65973663330078,0.0035937288300231796,0.01313968683849942,1.2964430777827307,1.225245693647862
2019-04-22,48.87421798706055,116.02537536621094,0.0032863444623369986,0.003161331190554284,1.3007036363121371,1.2291191010752833
2019-04-23,49.57915496826172,117.6003646850586,0.014423493822198985,0.013574524657873566,1.319464327174997,1.2458038086202932
2019-04-24,49.502685546875,117.1972427368164,-0.0015423704061852117,-0.0034278970930216035,1.3174292244447452,1.2415333213662485
2019-04-25,49.05345153808594,121.0784912109375,-0.009074942173868061,0.03311723367790331,1.3054736304147452,1.282649470488838
2019-04-26,48.81926345825195,121.77225494384766,-0.004774140707553665,0.00572986767485828,1.2992411156131443,1.2899988822279662
2019-04-29,48.89334487915039,121.65975189208984,0.0015174628958052327,-0.0009238808282698852,1.301212665798792,1.2888070769921862
2019-04-30,47.951847076416016,122.43788146972656,-0.019256154494266542,0.006395949075474805,1.276156313676274,1.2970502214247397
2019-05-01,50.30559158325195,119.88786315917967,0.04908558586043643,-0.020827037187648445,1.3387971939825687,1.270036508228879
